"Course","Description","Co-requisite"
"BIOL3035","The Human Physiology Laboratory course complements BIOL 3034 lecture. The course helps students apply their knowledge by carrying out experiments in basic cellular functions (e.g., osmosis/diffusion), electrophysiology, sensory system physiology, reflexes, muscle physiology, cardiovascular physiology, respiratory physiology, metabolism, endocrinology, reproduction, and embryology.",""
"BIOL3040","An introduction to the structure and function of microorganisms including genetics, metabolism, and comparative studies of prokaryotic and eukaryotic organisms; emphasis is on organisms of clinical significance.",""
"BIOL3041","Laboratory component of BIOL 3040.",""
"BIOL3050","Classical genetics in light of modern advances in molecular biology, including identification and structure of genetic material, its arrangement and transmission, and the molecular studies of genes.",""
"BIOL3070","An examination of the diversity, evolution, comparative morphology, and physiology of fishes. The course surveys marine reptiles, birds, and mammals.",""
"BIOL3071","Laboratory component of BIOL 3070.",""
"BIOL3090","This course provides an introduction to the theory and practice of statistics and focuses on hypothesis testing, experimental design, and the interpretation of statistical results. Course lectures cover summary statistics, normality diagnostics, Z-scores, t-tests, correlation, regression, ANOVA, and ANCOVA. Practical assignments using R software and examples drawn from the biological sciences will augment instruction on statistical principles and methods.",""
"BIOL3170","Principles governing metabolism, reproduction, genetics, and other aspects of biological activity at the cellular level in both prokaryotic and eukaryotic organisms.",""
"BIOL3171","Laboratory component of BIOL 3170.",""
"BIOL4210","Examination of the organization and function of the nervous system at molecular, cellular and systemic levels.",""
"BUS1000","An introduction to the managerial process and the functioning of business. This course integrates findings of the behavioral sciences with classical, quantitative systems, and other approaches to business.",""
"BUS2500","This course is designed for business and economic students. It enables students to learn and apply mathematics skills to a business setting. Topics included review of basic algebra, linear and nonlinear equations, set theory and mathematic proofs, functions of one and many variables, differentiation, single and multivariate optimization, constrained optimization, financial mathematics, linear programing, and business forecasting. Students will not only know the mathematics of these concepts but also be able to apply the concepts to solve business problems and make sound business decisions.",""
"BUS3995","This course is intended for students unable to take an internship, such as those with full-time jobs, military commitments, or international status. This course will provide opportunities to gain practical experience through seminars, business-related competitions, real-world simulations, or academic workshops.",""
"CHEM2050","This is the first of a two-semester course on the fundamental chemical principles for students intending to major in the natural sciences. Chemical topics covered in this course include the atomic-molecular basis of matter, chemical reactions, stoichiometry, thermochemistry, the electronic structure of atoms, element properties, the periodic table, chemical bonding, molecular geometry, and gas laws.",""
"CHEM2051","Laboratory component of CHEM 2050.",""
"CHEM3010","A one-semester organic chemistry course that provides a chemical foundation to understanding biological processes. Organic compounds are built on carbon frameworks and are the principal chemical class in all biological organisms. We will learn what these frameworks look like, how they are bonded and how they are affected by small arrangements of select elements, collectively known as ‘functional groups.’ Paying particular attention to functional groups and their reactions that are pertinent to biology, we will look at alkanes, alkyl halides, acids, bases, carbonyl compounds, and the mechanisms of their reactions. Included in these discussions will be amino acids and proteins.",""
"CHEM3020","Physical and mathematical principles of chemistry. Topics include the first and second laws of thermodynamics, free energy, phase equilibrium, chemical equilibrium, and kinetics (empirical rate laws, Arrhenius equation, reaction mechanics, collision theory, and absolute reaction-rate theory).",""
"CHEM3030","This is the first of a two-semester course on the chemistry of carbon-containing compounds. Organic molecules are the functional components of living organisms, the food we eat, the drugs we take, the clothes we wear, the fuels we burn, and most of the products in our lives. Students learn the basic language and tools for describing organic compounds and their reactions, including curved arrows, resonance, reaction schemes, energy diagrams, and structural drawings. Topics include bonding theories; acid-base chemistry; stereochemistry; and the nomenclature, structure, and reactivity of alkanes, alkenes, alkynes, and alkyl halides. Students also learn the theory, processing, and interpretation of nuclear magnetic resonance (NMR) spectroscopy.",""
"CHEM3031","Laboratory component of CHEM 3030. By applying concepts from the lecture course, students learn to synthesize, purify, analyze, and model organic compounds. Reactions include substitutions, eliminations, esterifications, and additions in order to synthesize aspirin, methylcylohexenes, diphenylacetylene, halobutanes, and methyl eugenol (a fruit fly pheromone). We will also analyze the biological efficacy of student prepared pheromones and statistically evaluate the data. Analytical instrumentation used by each student will include gas chromatography, ultraviolet and infrared spectroscopy (IR), mass spectrometry, and nuclear magnetic resonance (NMR) spectroscopy. These techniques are used to test hypotheses relating to reaction mechanisms, purity, solubility, and biological activities.",""
"CHEM4030","Biochemistry is the study of structure and function of macromolecules, basic biochemical principles, and metabolic and information pathways of living organisms. This course is an introduction to the extensive and rapidly-expanding field of biochemistry. This is the first semester of the two-semester biochemistry sequence that covers the structures of the four major classes of macromolecules and their components, enzymatic kinetics, cell membranes and transport, cell signaling, and catabolism.",""
"CHEM4031","Laboratory component of CHEM 4030. This course provides a hands-on teaching environment to simulate the student research experience and to develop independent laboratory skills. Students will become familiar with basic biochemical laboratory skills, equipment, and reagents while engaging in experiments that focus on the properties and analysis of principal biological macromolecules such as proteins, enzymes, and biological membranes and their building blocks. The students will focus on the process of data collection, and the interpretation and discussion of the experimental results.",""
"CHIN1100","An introduction to written and spoken Mandarin. This is the first semester of a two-semester sequence.",""
"CHIN2100","Conversation, reading, grammar, and introduction to Chinese culture. This is the first semester of a two-semester sequence.",""
"CJ1000","This course looks at the patterns and correlates interpersonal and collective violence using the most contemporary research, theories, and cases. Today violence remains one of the most pressing issues facing not only American society but countries throughout the world. The course looks at a variety of different yet connected forms of violence, which include homicide, assault, rape, domestic violence, robberies, genocide, riots, lynching, and terrorism, among others. While engaging in individual and cooperative projects, students will consider the theoretical causes and explanations of the deviant behavior of infamous criminals that have plagued our American society.",""
"CJ1050","This course is an introductory survey of the American criminal justice system with a view to its social and institutional context and its structure and functioning. The course provides an overview of the foundations and components of the criminal justice system, including (substantive and procedural) criminal law, police, courts, and corrections. The main emphasis will be placed on the criminal justice process and how the various institutions of criminal justice interact. Key issues will be addressed as they arise at different stages of the process, such as the conflict between crime control and due process.",""
"CJ1500","This course explores developments and changes in the practice of criminal justice brought about by technology and crime as well as the rapid technological change in computers and other internet access devices. Specific topics include: cybercrime, overview of the concepts and investigative requirements when dealing with cybersecurity, globalization of cybersecurity investigations, how different cybercrimes are committed, the rapid evolution of technology and its effects on crime, cybercrimes against persons, and criminal justice agencies involved in the investigation and prevention of cybercrimes.",""
"CJ2050","The study of why people break the law, drawing upon classical and contemporary theories from the behavioral sciences. Among topics covered are the nature and types of crimes, victims’ rights, types of punishment, and crime prevention.",""
"CJ3000","The course explores the standards and codes of professional responsibility in various professions and examines the theoretical and philosophical basis of ethics and the standards of professional conduct and leadership applicable to justice and the other agencies. It also explores analysis and evaluation of ethical dilemmas and roles of professional organizations. Emphasis is placed on the interrelated nature of ethics, morality, legal responsibility, and social issues.",""
"CJ3500","The study of criminal lawsuits’ fundamental concepts, evolution, and functioning, using seminal cases and examining the interaction between criminal laws and the U.S. Constitution.",""
"CJ3550","The study of academic theories underlying crime scene investigations and of practical applications of these theories. Topics include historical origins, principles underlying such investigations, and real-life studies of crimes such as homicide, arson, identity theft, white-collar crime, and terrorist attacks.",""
"CJ6750","This course addresses the rights, authority, and limitations confronting criminal justice agencies. The course will examine constitutional law principles such as the Separation of Powers, Federalism, Due Process, Equal Protection, as well as individual privacy rights. As criminal justice professionals, students will be able to understand and apply constitutional law principles in an administrative capacity relating to agency policies, rulemaking, compliances with rules and regulations, agency decisions, employment matters, agency accountability, and judicial review.",""
"CJ6760","This course looks at the fundamentals of crisis management for crisis and hostage negotiators as well the history of crisis management. It covers the elements of a crisis response team, the model of intervention in crisis/hostage negotiations, risk assessment in negotiations, communication in crisis negotiations, guidelines for negotiating with emotionally disturbed or mentally ill individuals, negotiating with suicidal persons, negotiating with special populations (e.g. juveniles, gang members, elderly), crisis negotiations in prisons and correctional facilities, and hostage dynamics.",""
"COM2000","Instruction and practice in the principal modes of public speaking: interpretive reading, informational speech, persuasive speech, debate, and formal presentation with use of aids. Theories of oral communication are introduced, and critiques of presentations are provided.",""
"COM2640","Basic argumentation theory including burden of proof, logical analysis, research, strategies, and tactics of persuasive communication in the context of politics, business, and cultural venues; gathering and weighing evidence, reasoning, case construction, refutation; presentation of public address and debate.",""
"COM3300","An exploration of how culture influences the way we perceive the world, think, value, and behave, and therefore how culture both facilitates and impedes communication. Special emphasis is placed upon cross-cultural communication.",""
"COM3420","Writing of business documents, including reports, letters, and memos required to meet the needs of today’s competitive business world. Research and documentation skills are reviewed. The course also includes units on teamwork, conflict management, interpersonal business communication, and cultural communication and requires individual and team oral presentations.",""
"COM3500","The development of written and oral skills focusing on communication of technical and scientific information to people with and without technical backgrounds.",""
"COM6000","A survey course of communication theories with an emphasis on those that address persuasive methods from the rhetorical and social science perspectives. Theories address interpersonal, media, group, and cultural communication situations. Students will develop skills as critical listeners and writers and become fluent in vocabulary for describing and analyzing persuasive messaging.",""
"COM6050","Focuses on rigorous communication research from the professional perspective, and the best means of presenting that research. Includes training in qualitative methods like textual analysis, survey research, and focus groups, but the primary focus in on quantitative methods such as statistical analysis, audience research, social media scraping, and marketing/advertising data.",""
"COM6460","Students create digital designs and illustrations usable for web and print purposes. Graphic design principles and skills will be taught, as well as use of photography, color, type, etc. Students design such items as advertisements, posters, logos, newsletters, brochures, information graphics, etc.",""
"COM6680","This course explores the history, theories, production practices and ethical considerations of documentary filmmaking. Topics include how documentary filmmaking evolved; close textual analysis of documentary films; ethical issues of the documentary mode; and practical applications, including subject research, narrative development, audio-video production, collaboration, budgeting, producing, and postproduction. The course provides students with the knowledge, insights, and skills needed to research and develop a documentary film project while facilitating the development of one’s cinematic voice and vision. This is a project-based course, and the final outcome includes a documentary pitch package and short film.",""
"CSCI1041","This course gives students tools to be active participants in today’s global culture of digital literacy. Students will learn current technology for acquiring, analyzing, and sharing information; analytical skills to understand, organize, and analyze numeric and graphic data; and communication skills to convey information in a context appropriate to the receiving audience. Readings will initiate discussions of technology issues such as: cybersecurity, addiction to social media, ethics and privacy, and intellectual property issues in a global society. The course is presented in a global context with local details drawn from a variety of countries and cultures.",""
"CSCI1061","Learn to use mobile technologies and non-proprietary apps for your academic and personal productivity and for broadening your information and technology literacy. In a project-based class, you work on realistic projects that focus your critical thinking and computational skills. The course work draws from the unique opportunities offered by mobile technologies to communicate, work collaboratively, and share knowledge. For example, you may use mobile technologies to survey subjects, use charts and spreadsheets to evaluate survey findings, and finally publish your findings in course websites. Readings and discussion will analyze the social impact of an always-on, always-connected world.",""
"CSCI1611","This is a gentle introduction to computer programming with the introductory programming language Python. Programs tell computers, step by step, how to do the amazing things they do, and they can stimulate and help evaluate models of our world. Students will learn problem solving and critical thinking in the framework of computational thought, and they will discuss the impact of technology on society. Topics cover fundamental programming concepts including: variables and data types, conditional and iterative control structures, string handling, functions, and testing. Programs will be compared to Java language versions for students interested in continuing computer science studies.",""
"CSCI1911","An introduction to computer science and computer information systems in preparation to study computer programming and problem solving. Students are introduced to the foundations of algorithms required for intermediate- level problem solving, and programming language elements and environments required to create, compile, and execute high-level language problems.",""
"CSCI2301","An introduction to the theory and applications of discrete mathematics including set theory, functions, zero- and first- order logic, induction, proofs (including direct, by cases, contraposition, contradiction, counterexample), logical inferences, truth tables, sequences, summations, formal counting techniques, number theory, growth of functions and their asymptotic bounds, logarithms, and simple recurrence relations. Sample computer-programming topics include design; pseudocode; sorting, searching and other common algorithms; recursion; tracing; debugging; testing; trees; strings; encryption; and bitwise operations. This course provides foundation material for other courses that require mathematical problem-solving skills.",""
"CSCI2912","An intermediate problem-solving and programming course using the Java programming language. Topics include composite and abstract data structures; GUIs and event-driven programming; inheritance and polymorphism; abstract classes and methods; interfaces; error handling using exceptions; binary files; recursion; and key software engineering practices such as: defensive programming, documentation, code design based on user specification, refinement, and testing. These topics are reinforced through extensive programming assignments. This course builds on CSCI 2911 and provides foundational material for CSCI 2913.",""
"CSCI3050","This class will survey the current state and trajectory of generative models, those used for text, coding, imagery, and music. The underlying learning models and their training regimes will be explored, as well as how they are and can be constructively used in practice. AI is supposed to radically change our lives – students will study the veracity and implications of those claims. Projects may include such topics as language modelling, machine learning, and image processing.",""
"CSCI3101","This course covers the analysis and design of algorithms. Good algorithm design is crucial for software performance. Topics include: efficiency analysis; big-O, omega, and theta notation for asymptotic upper, lower, and tight bounds on algorithm time complexity; recurrence equations; proof by induction and contradiction; brute-force, greedy, and divide-and-conquer algorithms; sorting algorithms including heapsort, mergesort, quicksort; graphs, trees, heaps; breadth and depth-first search; Dijkstra’s shortest-path algorithm; minimum spanning trees, Prim’s algorithm; maximum network flow; dynamic programming; NP-complete problems and the P and NP classes; and the halting problem as an example of a provably unsolvable problem. In-depth programming assignments.",""
"CSCI3106","Students solve and implement advanced programming problems covering a wide range of algorithmic topics. The course is structured around preparation to participate in an annual programming contest conducted by the Association for Computing Machinery (ACM). CSCI 3106 complements CSCI 3101, Algorithms, by providing students with less theoretical, more hands-on problem solving and programming. Topics include: data structures, strings, sorting, arithmetic and algebra, combinatorics, number theory, backtracking, graph algorithms, dynamic programming, grids, and geometry. Repeatable for up to 9 credits",""
"CSCI3131","This course covers basic audio signal processing for music, both theoretical and practical topics. Example uses of the concepts include identification of a song by Shazam, addition of special effects to music, and removal of unwanted noise. This is an application programming course using Python. Although the focus is music applications, the signal-processing topics apply to engineering and other disciplines. Topics include: WAV audio files; sinusoids; programming a song riff; Taylor series; Euler’s formula; discrete Fourier transform (DFT) and inverse DFT, fast Fourier transform (FFT); frequency detection and harmonics; spectrograms. Python libraries include NumPy, math, Matplotlib, SciPy especially scipy.fft.",""
"CSCI3301","An introduction to the design, development, and implementation of database management systems (DBMS). Topics include conceptual data modeling, logical and physical design, the relational model, normalization, SQL and high level language programming, transaction processing and concurrency control, database architecture, data warehouses, and database administration. Upon successful completion of this course the student will be able to design and implement database solutions for future academic or industry projects.",""
"CSCI3601","An introductory course on the design and implementation of operating systems. The course describes concepts of operating systems in terms of functions, structure, and implementation. Topics include process coordination, parallel vs. concurrent processes, deadlocks, memory management, device management, file systems, virtual machines, and network and distributed operating systems. Illustrates concepts with examples from existing operating systems. Concepts reinforced through computer simulations.",""
"CSCI3911","The course teaches software engineering techniques and system analysis methodologies based on the Software Engineering Body of Knowledge (SWEBOK) using Software as a Service (SaaS), Agile development methodologies, and Cloud based applications. This course covers Design Patterns, code version repositories, and open source project software engineering methodologies, critical for every programmer. It also covers systems analysis and business analysis skills of talking to a customer, creating prototypes, and alternative development methodologies.",""
"ECON2010","A general introduction to microeconomics, the study of individual consumers, groups of consumers, and firms. This course examines: demand theory; the theory of the firm; demand for labor; market theory; interaction between markets; and welfare economics.",""
"ECON2015","A general introduction to macroeconomics, the study of the aggregate economy. This course examines: how levels of output, employment, interest rates, and prices in a nation are interrelated; what causes these levels to change; and the use of policy measures to regulate them.",""
"ECON3020","The application of economic theory to managerial practices including both public and private sector management. Various topics revolve around the nature of market structures and the business environment including: barriers to entry, product differentiation, and exclusivity. Topics include: supply and demand analysis, profit maximization in varying market structures, and the role of competition.",""
"ECON3100","A study of the analysis of quantitative data, with special emphasis on the application of statistical methods to economic and business problems.",""
"ECON3430","Economic principles applied to the analysis of contemporary environmental problems and their potential solutions.",""
"ECON6000","Microeconomic and macroeconomic issues relevant to business managers. The course provides the tools necessary for efficient business decision-making and for an understanding of the economic environment in which business enterprises must operate. Topics include market structures, pricing strategies, cost analysis, monetary and fiscal policies, and the open economy.",""
"ED3000","Provide an introduction to the knowledge, skills, and dispositions that characterize the profession of education. Highlights the social, political, legal, historical, philosophical, and curricular foundations of American education. Advisor approval required.",""
"ED3200","An introduction to the scholarship of teaching and learning. Engages teacher candidates in disciplined reflection about teaching and learning. Candidates conduct a literature review; develop a research plan; collect, analyze, and interpret data; and engage in action planning.",""
"ED3300","Provides an introduction to general principles of reflective teaching. Focuses on the recursive process of planning, teaching, assessment of student learning, and reflection on professional practice. Emphasizes strategies for effective classroom management and teaching. Culminates in the delivery of a lesson plan in a school setting.",""
"ED3440","An introduction to teaching strategies that facilitate effective learning experiences in mathematics classes. Major areas of focus include curriculum theory and practice, instructional design, classroom management, assessment of student learning, and reflective teaching.",""
"ED3450","An introduction to teaching strategies that facilitate effective learning experiences in science classes. Major areas of focus include curriculum theory and practice, instructional design, classroom management, assessment of student learning, and reflective teaching.",""
"ED6700","This course provides an overview of the different categories of exceptionality with regard to students with special needs. Candidates will also be introduced to special education law, identification and placement procedures, current delivery systems, and basic philosophies and strategies relating to special education practice in an inclusion environment.",""
"ENG3223","This course explores themes in selected literary texts from various regions of Asia. The particular emphasis varies. Repeatable for a total of six credits when the focus has changed.",""
"ENGB3001","An exploration of thermodynamics applied to biological systems at the macro and cellular levels. Topics include: mass (conversion, balances), cellular function, the three laws of thermodynamics (thermal equilibrium, potential and kinetic energies; energy flow and conversion, heat transfer and work, and entropy), and thermodynamic relations. Students apply fundamental principles for problem-solving in physiological systems.",""
"ENGE2000","Linear electrical circuits and systems, with topics including: energy storage and passive circuit elements, dependent and independent sources, circuit analysis techniques, basic operational amplifiers circuit analysis and feedback, impedance, first and second order circuits, phasors, frequency response, Bode plots, Laplace Transfer and Fourier Series, and magnetically coupled circuits. Students will apply circuit theorems to analyze networks with mixed sources, transient and steady state response of circuits, ac circuits with phasor techniques, and the frequency response of a system and will apply Laplace and Fourier methods for circuit analysis.","ENGE 2001"
"ENGE2001","Application of basic electrical measurement to circuit elements and configurations. Students will use record-and-display instruments during analogue circuit analysis to determine their characteristics and measurements. Students will communicate their findings in laboratory notebooks and reports.","ENGE 2000"
"ENGE3000","An introduction to electrical signals, systems, and signal processing technologies are reviewed. Topics include: description and analysis of systems, mathematical representation of signals, sampling, aliasing, discrete and continuous signal representation, conversion and processing strategies, transforms (Laplace, Fourier, z-), Finite Impulse Response (FIR) filters, Infinite Impulse Response (IIR) filters, spectrum representation. Theory, principles and strategies for problem-solving in signals and systems design will be applied to address real-world challenges. Throughout the course, examples in signal processing are provided both theoretically and in practice with Matlab/Octave, and students will solve related problems with both techniques in class and lab.","ENGE 3001"
"ENGE3001","Signal processing techniques for signal filtering will be applied, including discrete and continuous signal representations, conversion and processing strategies, and transforms. Students will apply related principles and solve related problems in Matlab or Octave.","ENGE 3000"
"ENGR1000","A general introduction to the field of engineering including; basics of engineering components, processes, systems and professional practices. An overview of engineering systems in a range of disciplines, including electrical, mechanical, biomedical and biotechnological, provides foundations for engineering system analysis and problem-solving, in addition to management and industry practice. The subject examines innovations in engineering, as well as application of the Engineering Code of Ethics. The seminar component will involve written and verbal presentations, with individual and team components, on topics within the wider engineering disciplines.",""
"ENGT2100","An introduction to the basic principles (chemical bonding, crystallography, organic & biochemistry of macromolecules, mass and energy transfer) and common biomaterials used in biological and medical systems, in a range of applications. Topics include: biomaterials (metals, polymers, ceramics, and composites) and properties (physical attributes and surface properties).",""
"ENGT3002","This course provides a broad overview of key techniques used in biotechnology, including PCR, CRISPR-Cas9, DNA sequencing, cell culture, molecular cloning, immunofluorescence, flow cytometry, chromatography, electrophoresis, mass spectrometry, NMR spectroscopy, and bioinformatics. Designed for engineers, this course aims to build on cell and molecular biology techniques thereby forming a strong foundational understanding of these essential tools and their applications in both research and industry. The students apply modeling and simulation tools as well as hands on project work.",""
"ENVS1500","The Earth experiences natural disasters as a result of volcanic eruptions, earthquakes, landslides, flooding, storms, drought, and wildfires. These events dramatically impact humanity and the environment. Increasing population and poor land use practices compound the effects of natural disasters. This course is designed for undergraduate students of any major who are interested in understanding natural disasters and how we can minimize the dangers and damages of these events. We will review case histories of recent and historical events, focusing on how forecasting, prediction, warning systems, education, and planning can reduce human vulnerability to natural disasters.",""
"ENVS3002","The course emphasizes the use of the scientific method and the results of scientific study to explore and understand issues of environmental concern. The major objective is the presentation of the human inhabited biosphere as a system amendable to study and scientific understanding.",""
"ENVS3003","Laboratory and field component of ENVS 3002.",""
"ENVS3040","This course provides an introduction to environmental engineering. The fundamental principles of science and engineering will be applied using quantitative analysis of environmental issues. Topics covered include mass and energy balances, risk assessment, water use and treatment, air-, ground- and water-pollution sources, reduction and control, waste management, energy, environmental regulation and ethics.",""
"ENVS4030","The availability of digital geographic information has resulted in a need for professionals in many disciplines to use these data to benefit humanity and nature. This course will provide a practical, hands-on approach to spatial data analysis using Geographical Information Systems (GIS) as applied to the natural sciences or your field of study. The project-based nature of the course will encourage undergraduate students to identify and analyze a spatial problem of their choice.",""
"ENVS4100","A critical analysis of contemporary environmental issues that face society. The course includes formal seminars, informal group discussions, and a comprehensive review paper. Capstone course.",""
"ENVS4400","A critical analysis of recent environmental scientific literature. The course includes formal seminars, informal group discussions, a comprehensive review article, and a research project proposal.",""
"ENVS6010","This course discusses the history of the Earth’s climate from its formation to the present time. Focus will be placed on natural mechanisms that cause large-scale, global climate change, from the long-term to the abrupt, and how anthropogenic climate change fits into this context.",""
